Detail 1     (OpNumber MinDuration MaxDuration Stage)
  1    0.5   10     1
  2    4      5     2
  4    0.5    3     3
  5    0.5    3     4
  6    1      2     5
  7    0.5    3     6
  8    0.5    1     7
  9   35     40     8
 10    0.5    1     9
 11    0.5    2    10
 12    0.5    1    11
 13    0.5    5    12
 22    2      3    13
 24    6     10    14
 25    0.5   10    15
Detail 2
  1    0.5   10     1
  2    4      5     2
  4    0.5    3     3
  5    0.5    3     4
  6    1      2     5
  7    0.5    3     6
  8    0.5    1     7
  9   35     40     8
 10    0.5    1     9
 11    0.5    2    10
 12    0.5    1    11
 13    0.5    5    12
 22    2      3    13
 24    6     10    14
 25    0.5   10    15
Charge order
42.5 1  42.5 2
(Регламент обработки двух одинаковых деталей)
